fips,county,state,state_code,male_count,female_count,median_age,population,female_percentage,lat,long,financialdata,total_count
1001,Autauga County,Alabama,AL,26874,28326,37.8,55200,51.31521739130434,32.53492293292812,-86.64273013739468,1001.0,55200
1003,Baldwin County,Alabama,AL,101188,106919,42.8,208107,51.3769359031652,30.72747876693927,-87.72256353282204,1003.0,208107
1005,Barbour County,Alabama,AL,13697,12085,39.9,25782,46.87378791404856,31.869581438362317,-85.39320978902569,1005.0,25782
1007,Bibb County,Alabama,AL,12152,10375,39.9,22527,46.05584409819328,32.998628228925845,-87.12647507182314,1007.0,22527
1009,Blount County,Alabama,AL,28434,29211,40.8,57645,50.67395264116576,33.98086883066284,-86.56738039931867,1009.0,57645
1011,Bullock County,Alabama,AL,5663,4689,39.6,10352,45.29559505409583,32.10052546439408,-85.71567933028645,1011.0,10352
1013,Butler County,Alabama,AL,9368,10657,40.7,20025,53.21847690387016,31.752429155671948,-86.68027562242744,1013.0,20025
1015,Calhoun County,Alabama,AL,55315,59783,39.7,115098,51.94095466472049,33.771415664670144,-85.82603921906548,1015.0,115098
1017,Chambers County,Alabama,AL,16257,17569,43.0,33826,51.939336604978415,32.91434535110719,-85.39203021569158,1017.0,33826
1019,Cherokee County,Alabama,AL,12820,13033,45.9,25853,50.41194445518895,34.17590465311609,-85.60380095916831,1019.0,25853
1021,Chilton County,Alabama,AL,21672,22258,38.6,43930,50.66697017983155,32.84786730790755,-86.71879022444824,1021.0,43930
1023,Choctaw County,Alabama,AL,6253,6822,46.1,13075,52.175908221797314,32.019771720975655,-88.26317980997915,1023.0,13075
1025,Clarke County,Alabama,AL,11539,12848,42.3,24387,52.68380694632386,31.67667781209924,-87.83080861554338,1025.0,24387
1027,Clay County,Alabama,AL,6464,6914,43.7,13378,51.68186574973838,33.26902359843214,-85.8605790173855,1027.0,13378
1029,Cleburne County,Alabama,AL,7281,7657,42.5,14938,51.25853527915384,33.67451320426218,-85.51880933254934,1029.0,14938
1031,Coffee County,Alabama,AL,25314,25974,39.3,51288,50.643425362657936,31.40264942168117,-85.98815267828464,1031.0,51288
1033,Colbert County,Alabama,AL,26075,28420,42.7,54495,52.15157353885678,34.700470938378004,-87.80492780624994,1033.0,54495
1035,Conecuh County,Alabama,AL,6037,6477,44.8,12514,51.7580310052741,31.42923693025014,-86.99366150725562,1035.0,12514
1037,Coosa County,Alabama,AL,5501,5354,46.9,10855,49.32289267618609,32.93624304249333,-86.24766160001144,1037.0,10855
1039,Covington County,Alabama,AL,18172,19179,43.9,37351,51.348022810634255,31.248491453552955,-86.45126684432357,1039.0,37351
1041,Crenshaw County,Alabama,AL,6814,7051,41.5,13865,50.85467003245583,31.73151850368641,-86.31354750864885,1041.0,13865
1043,Cullman County,Alabama,AL,40560,41753,40.6,82313,50.72467289492547,34.1319452282297,-86.86757572060472,1043.0,82313
1045,Dale County,Alabama,AL,24234,25021,37.5,49255,50.79890366460258,31.431810191228635,-85.61100443496244,1045.0,49255
